,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
6788,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Favor,Mostly a drain,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6789,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor whites over blacks,Strongly Disapprove,Repealed,Donald Trump
6790,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Don't know,Oppose,Don't know,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Don't know,Somewhat Disapprove,Repealed,Gary Johnson
6791,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Favor,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6792,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6793,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Favor,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Repealed,Donald Trump
6794,Yes,Don't know,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Don't know,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Kept the same,Donald Trump
6795,Don't know,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Republican,Don't know,Don't know,Don't know,Don't know,Kept the same,Donald Trump
6796,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Somewhat Disapprove,Expanded,Donald Trump
6797,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Don't know,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
6798,Don't know,Don't know,Strongly agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Treat both groups the same,Somewhat Disapprove,Repealed,Hillary Clinton
6799,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6800,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6801,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6802,No,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor whites over blacks,Strongly Disapprove,Repealed,Donald Trump
6803,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
6804,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Don't know,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor whites over blacks,Strongly Approve,Kept the same,Hillary Clinton
