,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
7444,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7445,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Donald Trump
7446,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Oppose,Not sure,Gary Johnson
7447,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,
7448,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
7449,Strongly oppose,Off on the wrong track,About the same,Strongly Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7450,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Favor,Repealed,Jill Stein
7451,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Republican,Probably is happening,Favor,Expanded,Hillary Clinton
7452,"Neither support, nor oppose",Not sure,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7453,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Probably is happening,Not sure,Expanded,Donald Trump
7454,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Not sure,Favor,,Hillary Clinton
7455,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7456,"Neither support, nor oppose",Off on the wrong track,Not sure,Somewhat Approve,Independent,Probably is happening,Not sure,Repealed,Donald Trump
7457,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Not sure,Repealed,Donald Trump
7458,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
7459,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
7460,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7461,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7462,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7463,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
7464,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,,Favor,Kept the same,Donald Trump
7465,Strongly oppose,Not sure,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7466,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7467,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7468,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is not happening,Favor,Expanded,Hillary Clinton
7469,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,,Repealed,Donald Trump
7470,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
7471,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Favor,Repealed,Donald Trump
7472,Strongly oppose,Off on the wrong track,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7473,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Disapprove,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
7474,"Neither support, nor oppose",Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
7475,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Favor,Repealed,Donald Trump
7476,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Donald Trump
7477,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Favor,Not sure,Hillary Clinton
7478,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Favor,Repealed,Donald Trump
7479,"Neither support, nor oppose",Off on the wrong track,Not sure,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
7480,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7481,Strongly support,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
7482,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7483,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7484,Somewhat oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7485,Not sure,Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Not sure,Repealed,Donald Trump
7486,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is not happening,Favor,Not sure,Hillary Clinton
7487,Somewhat support,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Donald Trump
7488,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7489,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
7490,Somewhat support,Not sure,Pay more,Somewhat Disapprove,Independent,Not sure,Not sure,Repealed,Donald Trump
7491,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Oppose,Repealed,Hillary Clinton
7492,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7493,"Neither support, nor oppose",Off on the wrong track,Pay less,Strongly Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7494,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
7495,Not sure,Off on the wrong track,About the same,Somewhat Disapprove,Not sure,Definitely is happening,Favor,Repealed,
7496,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Definitely is happening,Not sure,Repealed,Gary Johnson
7497,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7498,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
7499,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Oppose,Repealed,Hillary Clinton
7500,Somewhat support,Generally headed in the right direction,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Favor,Expanded,Donald Trump
7501,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
7502,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7503,Somewhat support,Off on the wrong track,About the same,Strongly Disapprove,Other,Definitely is not happening,Favor,Kept the same,Donald Trump
7504,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Oppose,Kept the same,Hillary Clinton
7505,Not sure,Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7506,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Not sure,Kept the same,Other
7507,Not sure,Off on the wrong track,Not sure,Strongly Disapprove,Republican,Probably is happening,Favor,Not sure,Donald Trump
7508,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
7509,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7510,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7511,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Favor,Repealed,Donald Trump
7512,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
7513,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7514,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7515,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
7516,Not sure,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Donald Trump
7517,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7518,Not sure,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is not happening,Favor,Kept the same,Hillary Clinton
7519,Strongly oppose,Not sure,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7520,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Favor,Repealed,Donald Trump
7521,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7522,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
7523,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
7524,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7525,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7526,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Not sure,Expanded,Hillary Clinton
7527,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Hillary Clinton
7528,"Neither support, nor oppose",Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Donald Trump
7529,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7530,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Oppose,Not sure,Donald Trump
7531,Somewhat oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
7532,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
7533,Somewhat oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7534,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,
7535,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
7536,Not sure,Not sure,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Other
7537,Somewhat support,Not sure,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
7538,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Not sure,Repealed,Donald Trump
7539,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
7540,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Independent,Not sure,Favor,Repealed,Donald Trump
7541,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
