obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Somewhat Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Don't know,Somewhat favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Don't know,We need a strong government to handle today's complex economic problems,38.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,78.0,Donald Trump
Strongly Disapprove,Expanded,Yes,41.045111462173075,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"Not sure, don't recall",Not sure,Too little,Mostly a drain,Should be more evenly distributed,Don't know,21.0,Part of a broader pattern,Agree,Agree,Don't know,Don't Know,Strongly Agree,Don't know,Agree,41.0,Donald Trump
Strongly Approve,Repealed,Yes,1.0,Favor blacks over whites,Unimportant,Probably is not happening,Strongly favor,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,3.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,9.0,Donald Trump
Strongly Approve,Expanded,Yes,70.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Republican primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.0,Hillary Clinton
Strongly Approve,Repealed,Don't know,1.0,Don't know,Somewhat important,Probably is happening,Somewhat favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,18.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,0.0,Donald Trump
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,"No, not in either",Very conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,8.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,27.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,8.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,22.0,Donald Trump
Somewhat Approve,Kept the same,Yes,31.0,Don't know,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Don't know,Mostly a drain,Don't know,We need a strong government to handle today's complex economic problems,28.0,Isolated incidents,Agree,Agree,Don't know,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,74.0,Hillary Clinton
Strongly Disapprove,Repealed,No,12.0,Favor blacks over whites,Somewhat important,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Very conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,8.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,22.0,Donald Trump
Strongly Disapprove,Repealed,No,6.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,49.0,Part of a broader pattern,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,33.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Favor whites over blacks,Very important,Definitely is happening,Strongly favor,Republican,In the Democratic primary,Very conservative,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,100.0,Part of a broader pattern,Strongly Agree,Strongly agree,Favor,Strongly Agree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,80.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Don't know,Mostly make a contribution,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,74.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Disagree,Don't know,Strongly agree,95.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor whites over blacks,Unimportant,Probably is happening,Somewhat favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,48.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,23.0,Donald Trump
Strongly Disapprove,Repealed,No,9.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Republican,In the Republican primary,Moderate,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,78.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Don't know,Disagree,31.0,Donald Trump
Somewhat Approve,Expanded,No,83.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,91.0,Isolated incidents,Don't Know,Strongly disagree,Oppose,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,80.0,Hillary Clinton
Strongly Disapprove,Repealed,No,9.0,Favor blacks over whites,Unimportant,Definitely is not happening,Don't know,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,25.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Disagree,11.0,Donald Trump
Strongly Disapprove,Repealed,No,2.0,Favor blacks over whites,Not very important,Probably is not happening,Somewhat favor,Other,In the Republican primary,Very conservative,About the right amount,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,79.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Independent,"No, not in either",Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,3.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,45.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor whites over blacks,Unimportant,Definitely is not happening,Strongly favor,Independent,In the Republican primary,Very conservative,Too much,Don't know,Don't know,People would be better able to handle today's problems within a free market with less government involvement,0.0,Don't know,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Agree,24.0,Donald Trump
Somewhat Disapprove,Repealed,Yes,38.0,Don't know,Somewhat important,Definitely is happening,Somewhat oppose,Republican,In the Republican primary,Moderate,Don't know,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Isolated incidents,Don't Know,Agree,Favor,Disagree,Strongly Agree,Don't know,Agree,65.0,Donald Trump
Strongly Approve,Expanded,Yes,78.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,78.0,Part of a broader pattern,Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,25.0,Hillary Clinton
